name,category,phase,HP,Size,StartPosX,StartPosY,StartPosZ,EntryPosX,EntryPosY,EntryPosZ,sideNo,Target1PosX,Target1PosY,Target1PosZ,TargetPosX,TargetPosY,TargetPosZ,sprite,Model,AppearanceTime,State,NextState1,NextState2,NextState3,NextState4,NextState5
enemy01,type1,phase1,10,0.2,-12,-3,0,3,-4.5,0,1,3,0,0,-4,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0,0,1,2,3,4,-1
enemy02,type1,phase1,10,0.2,-12,-3,0,,,-1,,3,0,0,-3,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.1,0,1,2,3,4,-1
enemy03,type1,phase1,10,0.2,-12,-3,0,,,-1,,3,0,0,-2,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.2,0,1,2,3,4,-1
enemy04,type1,phase1,10,0.2,-12,-3,0,,,-1,,3,0,0,-1,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.3,0,1,2,3,4,-1
enemy05,type2,phase2,10,0.2,-11,1,0,-8.4,2,0,4,-2,1,0,0,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0,0,1,2,3,4,-1
enemy06,type2,phase2,10,0.2,-11,1,0,,,-1,,-2,1,0,1,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.1,0,1,2,3,4,-1
enemy07,type2,phase2,10,0.2,-11,1,0,,,-1,,-2,1,0,2,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.2,0,1,2,3,4,-1
enemy08,type2,phase2,10,0.2,-11,1,0,,,-1,,-2,1,0,3,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.3,0,1,2,3,4,-1
enemy09,type3,phase3,10,0.2,-5,8,0,3,4.5,0,3,3,0,0,-4,-1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0,0,1,2,3,4,-1
enemy10,type3,phase3,10,0.2,-5,8,0,,,-1,,3,0,0,-3,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.1,0,1,2,3,4,-1
enemy11,type3,phase3,10,0.2,-5,8,0,,,-1,,3,0,0,-2,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.2,0,1,2,3,4,-1
enemy12,type3,phase3,10,0.2,-5,8,0,,,-1,,3,0,0,-1,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.3,0,1,2,3,4,-1
enemy13,type3,phase4,10,0.2,6,8,0,-2,4.5,0,3,-2,1,0,3,-1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0,0,1,2,3,4,-1
enemy14,type3,phase4,10,0.2,6,8,0,,,-1,,-2,1,0,2,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.15,0,1,2,3,4,-1
enemy15,type3,phase4,10,0.2,6,8,0,,,-1,,-2,1,0,1,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.3,0,1,2,3,4,-1
enemy16,type3,phase4,10,0.2,6,8,0,,,-1,,-2,1,0,0,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.45,0,1,2,3,4,-1
enemy17,type2,phase5,10,0.2,12,3,0,-9,4.5,0,1,5,2,0,-5,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0,0,1,2,3,4,-1
enemy18,type2,phase5,10,0.2,12,3,0,,,,,5,2,0,-4,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.15,0,1,2,3,4,-1
enemy19,type2,phase5,10,0.2,12,3,0,,,,,5,2,0,-3,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.3,0,1,2,3,4,-1
enemy20,type2,phase5,10,0.2,12,3,0,,,,,5,2,0,-2,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.45,0,1,2,3,4,-1
enemy21,type2,phase5,10,0.2,12,3,0,,,,,5,2,0,-1,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.6,0,1,2,3,4,-1
enemy22,type2,phase5,10,0.2,12,3,0,,,,,5,2,0,0,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,0.75,0,1,2,3,4,-1
enemy23,type2,phase5,10,0.2,12,3,0,,,,,0,0,0,0,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,1,0,1,2,3,4,-1
enemy24,type2,phase5,10,0.2,12,3,0,,,,,0,0,0,1,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,2,0,1,2,3,4,-1
enemy25,type2,phase5,10,0.2,12,3,0,,,,,0,0,0,2,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,3,0,1,2,3,4,-1
enemy26,type2,phase5,10,0.2,12,3,0,,,,,0,0,0,3,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,4,0,1,2,3,4,-1
enemy27,type3,phase5,10,0.2,12,3,0,,,,,0,0,0,0,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,5,0,1,2,3,4,-1
enemy28,type3,phase5,10,0.2,12,3,0,,,,,0,0,0,1,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,6,0,1,2,3,4,-1
enemy29,type3,phase5,10,0.2,12,3,0,,,,,0,0,0,2,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,7,0,1,2,3,4,-1
enemy30,type3,phase5,10,0.2,12,3,0,,,,,0,0,0,3,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,8,0,1,2,3,4,-1
enemy31,type3,phase5,10,0.2,12,3,0,,,,,0,0,0,4,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,9,0,1,2,3,4,-1
enemy32,type3,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,10,0,1,2,3,4,-1
enemy33,type3,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,-4,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,11,0,1,2,3,4,-1
enemy34,type3,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,-3,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,12,0,1,2,3,4,-1
enemy35,type3,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,-2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,13,0,1,2,3,4,-1
enemy36,type1,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,-1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,14,0,1,2,3,4,-1
enemy37,type1,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,0,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,15,0,1,2,3,4,-1
enemy38,type1,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,16,0,1,2,3,4,-1
enemy39,type1,phase5,10,0.2,12,3,0,,,,,3,-3,0,-3,2,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,17,0,1,2,3,4,-1
enemy40,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,-4,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,18,0,1,2,3,4,-1
enemy41,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,-3,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,19,0,1,2,3,4,-1
enemy42,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,-2,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,20,0,1,2,3,4,-1
enemy43,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,-1,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,21,0,1,2,3,4,-1
enemy44,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,0,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,22,0,1,2,3,4,-1
enemy45,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,1,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,23,0,1,2,3,4,-1
enemy46,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,2,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,24,0,1,2,3,4,-1
enemy47,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,3,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,25,0,1,2,3,4,-1
enemy48,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,4,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,26,0,1,2,3,4,-1
enemy49,type1,phase5,10,0.2,12,3,0,,,,,-3,-2,0,5,1,0,Assets/ReSource/Texture/Character/Enemy/slime.png,koa,27,0,1,2,3,4,-1
