name,category,HP,Size,StartPosX,StartPosY,StartPosZ,EntryPosX,EntryPosY,EntryPosZ,Target1PosX,Target1PosY,Target1PosZ,TargetPosX,TargetPosY,TargetPosZ,sprite,AppearanceTime,State
enemy01,type1,10,20,0,-100,0,1400,50,0,1500,300,0,500,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,0,0
enemy02,type1,10,20,0,-100,0,-1000,,,1500,300,0,600,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,0.1,0
enemy03,type1,10,20,0,-100,0,-1000,,,1500,300,0,700,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,0.2,0
enemy04,type1,10,20,0,-100,0,-1000,,,1500,300,0,800,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,0.3,0
enemy05,type2,10,30,3000,-100,0,1860,540,0,500,400,0,900,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,1,0
enemy06,type2,10,30,3000,-100,0,-1000,,,500,400,0,1000,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,1.1,0
enemy07,type2,10,30,3000,-100,0,-1000,,,500,400,0,1100,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,1.2,0
enemy08,type2,10,30,3000,-100,0,-1000,,,500,400,0,1200,800,0,Assets/ReSource/Texture/Character/Enemy/slime.png,1.3,0
enemy09,type3,10,15,0,2000,0,1300,1030,,1500,300,0,500,200,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.5,0
enemy10,type3,10,15,0,2000,0,-1000,,,1500,300,0,600,250,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.6,0
enemy11,type3,10,15,0,2000,0,-1000,,,1500,300,0,700,300,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.7,0
enemy12,type3,10,15,0,2000,0,-1000,,,1500,300,0,800,350,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.8,0
enemy13,type3,10,15,2200,2000,0,-1000,,,500,400,0,1200,200,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.5,0
enemy14,type3,10,15,2200,2000,0,-1000,,,500,400,0,1100,250,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.6,0
enemy15,type3,10,15,2200,2000,0,-1000,,,500,400,0,1000,300,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.7,0
enemy16,type3,10,15,2200,2000,0,-1000,,,500,400,0,900,350,0,Assets/ReSource/Texture/Character/Enemy/slime.png,2.8,0
